Id,Character,JlptLevel,Meaning,StrokeCount,Freq,AllRebs
871,湖,N2,HỒ,12,1344," コ | か.れる か.らす"
1185,諮,N1,"TI, TƯ",16,1345," シ"
660,狭,N1,HIỆP,9,1346," キョウ | くる.う くる.おしい くるお.しい"
583,喫,N2,KHIẾT,12,1347," キツ | ども.る"
1841,卓,N1,TRÁC,8,1348," ロウ ソウ | たき"
466,干,N2,"KIỀN, CAN, CÀN, CÁN",3,1349," カン | くつろ.ぐ ひろ.い ゆる.やか"
1977,頂,N3,ĐÍNH,11,1350," チョウ | なが.い おさ"
1935,虫,N2,TRÙNG,6,1351," チュウ | そそ.ぐ さ.す つ.ぐ"
1105,刷,N2,"XOÁT, LOÁT",8,1352," サツ サク | ふみ"
562,亀,N1,"QUY, QUI",11,1353," キ | おに おに-"
2925,糧,N1,LƯƠNG,18,1354," リョウ ロウ | いつ かど"
2127,湯,N2,"THANG, SƯƠNG, THÃNG",12,1356," トウ | よな.げる"
2328,箱,N3,"TƯƠNG, SƯƠNG",15,1357," カン | はこ い.れる"
2591,簿,N1,"BỘ, BẠC",19,1358," ボ | はは も"
2986,炉,N1,LÔ,8,1359," ロ | やぐら おおだて"
2658,牧,N1,MỤC,8,1360," ボク | ほう ほお えのき"
1275,殊,N1,THÙ,10,1361," シュ | あけ"
1484,殖,N1,THỰC,12,1362," ショク | う.える う.わる"
494,艦,N1,HẠM,21,1363," カン | きも"
2843,溶,N2,"DONG, DUNG",13,1364," ヨウ"
2290,輩,N1,BỐI,15,1365," ハイ"
803,穴,N1,HUYỆT,5,1366," ケツ | いさぎよ.い"
528,奇,N1,"KÌ, CƠ",8,1367," キ | もと もとい"
2701,慢,N1,MẠN,14,1368," マン バン | よろず"
2016,鶴,N1,HẠC,21,1369," チョウ | つ.る つ.り つ.り-"
2645,謀,N1,MƯU,16,1370," ボウ | ふく.らむ ふく.れる"
1897,暖,N1,NOÃN,13,1371," ダン | た.つ ことわ.る さだ.める"
1414,昌,N1,XƯƠNG,8,1372," ショウ | のぼ.る"
2311,拍,N1,PHÁCH,8,1373," ハク バク"
2994,朗,N1,LÃNG,10,1374," ロウ ル | いじく.る ろう.する いじ.る ひねく.る たわむ.れる もてあそ.ぶ"
1457,丈,N1,TRƯỢNG,3,1375," ジョウ ショウ シャン | うえ -うえ うわ- かみ あ.げる -あ.げる あ.がる -あ.がる あ.がり -あ.がり のぼ.る のぼ.り のぼ.せる のぼ.す よ.す"
976,鉱,N2,KHOÁNG,13,1376," コウ"
465,寛,N1,KHOAN,13,1377," カン"
2518,覆,N1,"PHÚC, PHÚ",18,1378," フク"
2614,胞,N1,BÀO,9,1379," ホウ | ぬ.う"
608,泣,N1,KHẤP,8,1380," キュウ | く.む"
2947,涙,N2,LỆ,10,1381," ルイ ライ スイ | とりで"
407,隔,N1,CÁCH,13,1382," カク"
1471,浄,N1,TỊNH,9,1383," ジョウ | つえ"
2424,匹,N2,THẤT,4,1384," ハイ ヒ | ひえ"
2663,没,N1,MỘT,7,1385," ボツ ホツ | おこ.る にわかに"
302,暇,N1,HẠ,13,1386," カ"
2289,肺,N1,PHẾ,9,1387," ハイ | せ せい そむ.く そむ.ける"
1788,孫,N2,"TÔN, TỐN",10,1388," ソン ゾン"
2022,貞,N1,TRINH,9,1389," テイ | まい そ.る す.る"
2789,靖,N1,TĨNH,13,1390," ヤク | おど.る"
500,鑑,N1,GIÁM,23,1391," カン | かえ.る"
1189,飼,N1,TỰ,13,1392," シ | め- めす めん"
167,陰,N1,ÂM,11,1393," イン"
2737,銘,N1,MINH,14,1394," メイ | まよ.う"
217,鋭,N2,"DUỆ, NHUỆ",15,1395," エイ | よ.む うた.う"
1560,随,N1,TÙY,12,1396," スイ | つむ おもり"
2970,烈,N1,LIỆT,10,1397," レツ | おと.る"
1531,尋,N1,TẦM,12,1398," ニン ジン イ | みずのえ"
955,稿,N1,CẢO,15,1400," コウ | かた.い"
1167,枝,N2,"CHI, KÌ",8,1401," シ | むね うま.い"
1873,丹,N1,ĐAN,4,1402," スイ | だれ たれ た"
757,啓,N1,KHẢI,11,1403," ケイ キョウ | あに"
2775,也,N1,DÃ,3,1404," もんめ め"
595,丘,N1,"KHÂU, KHIÊU",5,1405," ギャク ゲキ | さか さか.さ さか.らう"
2124,棟,N1,ĐỐNG,12,1406," トウ"
1464,壌,N1,NHƯỠNG,16,1407," ジョウ チョウ | ば"
2703,漫,N1,"MẠN, MAN",14,1408," マン バン | み.ちる み.つ み.たす"
851,玄,N1,HUYỀN,5,1409," ゲン | みなもと"
2252,粘,N1,NIÊM,11,1410," ネン | も.える も.やす も.す"
894,悟,N1,NGỘ,10,1411," ギョ ゴ | おん- お- み-"
2576,舗,N1,PHỐ,15,1412," ホ ホウ | たも.つ"
2238,妊,N1,NHÂM,7,1413," ニン | まか.せる まか.す"
2086,塗,N2,"ĐỒ, TRÀ",13,1414," ト | かき"
1340,熟,N1,THỤC,15,1415," ジュク"
837,軒,N2,HIÊN,10,1416," ケン | かしこ.い"
87,旭,N1,HÚC,6,1417," アク | あつ.い うるお.う"
283,恩,N1,ÂN,10,1418," シャ | おろ.す おろし おろ.し"
2178,毒,N2,"ĐỘC, ĐỐC",8,1419," トク | あつ.い"
2152,騰,N1,ĐẰNG,20,1420," トウ ズ ト | あたま かしら -がしら かぶり"
258,往,N1,VÃNG,8,1421," オウ | おく おく.まる くま"
2145,豆,N1,ĐẬU,7,1422," トウ"
1556,遂,N1,TOẠI,12,1423," スイ | おとろ.える"
2379,晩,N3,VÃN,12,1424," バン | ひ.く"
659,狂,N1,CUỒNG,7,1425," キョウ | まし.て いわ.んや おもむき"
646,叫,N2,KHIẾU,6,1426," ケイ キョウ | きみ"
531,岐,N1,KÌ,7,1428," キ | よ.る -よ.り よ.せる"
2551,陛,N1,BỆ,10,1429," ヘイ | と.じる と.ざす し.める し.まる た.てる"
133,緯,N1,VĨ,16,1430," イ"
2293,培,N1,"BỒI, BẬU",11,1431," バイ"
1555,衰,N1,"SUY, SÚY, THÔI",10,1432," スイ | かわせみ みどり"
2041,艇,N1,ĐĨNH,13,1433," テイ | し.まる し.まり し.める -し.め -じ.め"
729,屈,N1,"KHUẤT, QUẬT",8,1434," セツ | くず いさぎよ.い"
763,径,N1,KÍNH,8,1435," ケイ ギョウ | かた -がた かたち なり"
1881,淡,N1,ĐẠM,11,1436," タン | なげ.く なげ.き"
1931,抽,N1,TRỪU,8,1437," チュウ"
2394,披,N1,"PHI, BIA",8,1438," ヒ"
2029,廷,N1,ĐÌNH,7,1439," テイ | にわ"
686,錦,N1,CẨM,16,1440," キン フク | おお.い ちきり きれ"
1351,准,N1,"CHUẨN, CHUYẾT",10,1441," シュン スン | すぐ.れる"
1368,暑,N1,THỬ,12,1442," ショ | ところ -ところ どころ とこ"
2282,拝,N2,BÁI,8,1443," ハイ | すた.れる すた.る"
146,磯,N1,KI,17,1444," イク"
1396,奨,N1,TƯỞNG,13,1445," ショウ ジョウ | かつ.て こころ.みる な.める"
2677,妹,N4,MUỘI,8,1446," マイ | う.める う.まる う.もれる うず.める うず.まる い.ける"
1508,浸,N1,TẨM,10,1447," シン ハン | はしばみ はり"
1461,剰,N1,THẶNG,11,1448," ジョウ"
1889,胆,N1,ĐẢM,9,1449," タン | ふ.ける"
2445,氷,N2,BĂNG,5,1450," ヒョウ | しるべ しるし"
1670,繊,N1,TIÊM,17,1451," セン | すじ"
715,駒,N1,CÂU,15,1452," ク | か.ける か.る"
452,乾,N2,"KIỀN, CAN, CÀN",11,1453," ガ | かわら ぐらむ"
626,虚,N1,"HƯ, KHƯ",11,1454," キョ | かれ なんぞ なに みぞ いずくんぞ"
2640,棒,N2,BỔNG,12,1455," ボウ | それがし なにがし"
455,寒,N3,HÀN,12,1456," カン | かんむり"
2963,霊,N1,LINH,15,1458," レイ | ぜろ こぼ.す こぼ.れる"
1953,帳,N1,TRƯỚNG,11,1459," チョウ ジョウ | かきもの"
348,悔,N1,"HỐI, HỔI",9,1460," カイ ケ | あや.しい あや.しむ"
2797,諭,N1,DỤ,16,1461," ユ | い.える いや.す い.やす"
548,祈,N2,KÌ,8,1462," キ | みやこ"
1125,惨,N1,THẢM,11,1463," サン セン | やま"
593,虐,N1,NGƯỢC,9,1464," キャク キャ カク | あし"
2669,翻,N1,PHIÊN,18,1465," ホン | もと"
1989,墜,N1,TRỤY,15,1466," シン | つ"
1421,沼,N1,CHIỂU,8,1467," ショウ | きこ.る こ.る きこり"
1569,据,N1,"CƯ, CỨ",11,1468," スウ ス ジュ | ひな ひよこ"
2404,肥,N1,PHÌ,8,1469," ヒ | まか.り- や.める"
1382,徐,N1,TỪ,10,1470," ジョ | つい.で ついで"
2137,糖,N1,ĐƯỜNG,16,1471," トウ | つつ"
2120,搭,N1,ĐÁP,12,1472," トウ | な.げる -な.げ"
1153,姉,N4,TỈ,8,1473," シ | はじ.める -はじ.める はじ.まる"
2343,髪,N3,PHÁT,14,1474," ハツ | かも.す"
2635,忙,N3,MANG,6,1475," ボウ | わす.れる"
1359,盾,N1,THUẪN,9,1476," ジュン | うるお.う うるお.す うる.む"
2716,脈,N1,MẠCH,10,1477," ネン ジン ニン | みの.る みのり"
1839,滝,N1,LANG,13,1478," ヨウ オウ | たか"
1299,拾,N2,"THẬP, THIỆP, KIỆP",9,1479," シュウ | うれ.える うれ.い"
557,軌,N1,QUỸ,9,1480," キ | お.きる お.こる お.こす おこ.す た.つ"
2442,俵,N1,BIỂU,10,1481," ビュウ ビョウ ミュウ | あやま.る"
2632,妨,N1,"PHƯƠNG, PHƯỚNG",7,1482," ボウ ボッ"
2534,粉,N2,PHẤN,10,1484," フン | ふる.う"
1109,擦,N1,SÁT,17,1485," サツ | と.る つま.む -ど.り"
792,鯨,N1,KÌNH,19,1486," ゲイ | むか.える"
480,漢,N4,HÁN,13,1487," カン | あせ"
1174,糸,N2,MỊCH,6,1488," シ | わたくし わたし"
1750,荘,N1,TRANG,9,1489," ソウ | くさ くさ- -ぐさ"
1853,諾,N1,NẶC,15,1490," ダク ジョク | にご.る にご.す"
2871,雷,N1,LÔI,13,1491," ライ | たの.む たの.もしい たよ.る"
2446,漂,N1,"PHIÊU, PHIẾU",14,1492," ヒョウ | こおり ひ こお.る"
350,懐,N1,HOÀI,16,1493," カイ ケ | ひろ.い"
457,勘,N1,KHÁM,11,1494," カン"
2744,綿,N2,MIÊN,14,1495," メン | わた"
1058,栽,N1,"TÀI, TẢI",10,1496," サイ | と.る"
1056,才,N3,TÀI,3,1497," サイ | いろど.る"
352,拐,N1,QUẢI,8,1498," カイ | いまし.める"
1807,駄,N1,ĐÀ,14,1500," タ ダ イ チ ジ | けわ.しい ななめ"
2071,添,N1,THIÊM,11,1501," テン | みせ たな"
479,汗,N2,"HÃN, HÀN",6,1502," カン | よろこ.ぶ"
454,冠,N1,"QUAN, QUÁN",9,1503," カン | つよ.い"
1247,斜,N1,"TÀ, GIA",11,1504," シャ"
2167,銅,N2,ĐỒNG,14,1505," ドウ トウ | みち"
667,鏡,N1,KÍNH,19,1506," キョウ ゴウ | さと"
1748,聡,N1,THÔNG,14,1507," ソウ | おさ.める す.べる"
2997,浪,N1,"LÃNG, LANG",10,1508," ロウ"
72,亜,N1,Á,7,1509," リャク | ほぼ おか.す おさ.める はかりごと はか.る はぶ.く りゃく.す りゃく.する"
2883,覧,N1,LÃM,17,1510," ラン ラ"
1041,詐,N1,TRÁ,12,1511," サ シャ | すな"
1894,壇,N1,ĐÀN,16,1512," ダン トン | かたまり まる.い"
743,勲,N1,HUÂN,15,1513," ショウ シュウ | くわ すき"
2674,魔,N1,MA,21,1514," マ | みが.く す.る"
1316,酬,N1,THÙ,13,1515," シュウ ジュ | おさ ふるざけ さけのつかさ"
1176,紫,N1,TỬ,12,1516," シ | かみ"
1229,湿,N2,"THẤP, CHẬP",12,1517," シツ シチ | つ.きる ことごと ことごと.く つ.くす つぶさ.に"
1369,曙,N1,THỰ,17,1518," ショ | あつ.い"
2772,紋,N1,VĂN,10,1519," モン | もだ.える もだえ.る"
282,卸,N1,TÁ,9,1520," エン | おれ われ"
2533,奮,N1,PHẤN,16,1521," フン ホン ハン | た.く や.く やきがり"
2879,欄,N1,LAN,20,1523," ラン | あらし"
150,逸,N1,DẬT,11,1524," イツ | こぼ.れる あふ.れる み.ちる"
375,涯,N1,NHAI,11,1525," ガイ | おおむ.ね"
1846,拓,N1,"THÁC, THÁP",8,1526," タク | えら.ぶ"
514,眼,N1,NHÃN,11,1527," ガン"
2471,瓶,N2,BÌNH,11,1528," ビン | さとい"
1003,獄,N1,NGỤC,14,1529," コク | くろ くろ.ずむ くろ.い"
1403,尚,N1,THƯỢNG,8,1531," ショウ | すく.ない すこ.し"
1957,彫,N1,ĐIÊU,11,1533," チョウ | は.る -は.り -ば.り"
1084,咲,N2,TIẾU,9,1534," コウ | さかな"
285,穏,N1,ỔN,16,1535," オン | あたた.か あたた.かい あたた.まる あたた.める ぬく"
841,顕,N1,HIỂN,18,1536," ケン | けわ.しい"
927,巧,N1,XẢO,5,1537," コウ ク グ"
2725,矛,N1,MÂU,5,1538," ボウ ム"
385,垣,N1,VIÊN,9,1539," ア ワ | かえる かわず"
1391,召,N2,TRIỆU,5,1540," ショウ | ます"
570,欺,N1,KHI,12,1541," ギ | まが.い もど.き"
2015,釣,N1,ĐIẾU,11,1542," チョウ | つ.る つる.す"
491,缶,N2,"PHỮU, PHẪU, PHŨ",6,1543," カン | ゆる.い ゆる.やか ゆる.む ゆる.める"
2307,萩,N1,THU,12,1544," シン | は.ぐ いわ.んや はぐき はぎ"
1436,粧,N1,TRANG,12,1545," ショウ | わら.う え.む"
1616,隻,N2,"CHÍCH, CHỈ",10,1546," ゼイ セイ セツ | もろ.い よわい"
1178,脂,N2,CHI,10,1548," シ"
1338,粛,N1,TÚC,11,1549," シュク | ちぢ.む ちぢ.まる ちぢ.める ちぢ.れる ちぢ.らす"
739,栗,N1,LẬT,10,1550," くめ"
717,愚,N1,NGU,13,1551," グ | そな.える つぶさ.に"
1475,蒸,N2,CHƯNG,13,1552," ジョウ | わら ゆたか"
296,嘉,N1,GIA,14,1553," カ コク | -べ.き -べ.し"
1757,遭,N1,TAO,14,1554," ソウ | おく.る"
304,架,N1,GIÁ,9,1555," カ | は.たす はた.す -は.たす は.てる -は.てる は.て"
561,鬼,N1,QUỶ,10,1557," キ"
1371,庶,N1,THỨ,11,1558," ショ | なぎさ"
2335,肌,N2,CƠ,6,1559," マン ハン バン ホン | はた"
1910,稚,N1,TRĨ,13,1560," チ | し.れる おろか"
733,靴,N3,NGOA,13,1561," トウ | くつ"
1201,滋,N1,TƯ,12,1563," ジ シ | つ.ぐ つぎ"
847,幻,N1,"HUYỄN, ẢO",4,1564," ゲン ゴン | おごそ.か きび.しい いか.めしい いつくし"
1248,煮,N1,CHỬ,12,1565," シャ | なな.め はす"
2437,姫,N1,CƠ,10,1566," カイ | ひのき ひ"
1607,誓,N1,THỆ,14,1567," セイ | まこと"
961,耕,N2,CANH,10,1568," コウ | つな"
2268,把,N1,BẢ,7,1569," ハ | ともえ うずまき"
1678,践,N1,TIỄN,13,1570," セン ゼン | いや.しい いや.しむ いや.しめる しず やす.い"
2023,呈,N1,TRÌNH,7,1571," テイ | さだ"
1703,疎,N1,SƠ,12,1572," ソ ショ | あら.い うと.い うと.む とお.る とお.す まばら"
671,仰,N1,"NGƯỠNG, NHẠNG",6,1573," キョウ | おどろ.く おどろ.かす"
2202,鈍,N2,ĐỘN,12,1574," ドン | くも.る"
1906,恥,N3,SỈ,10,1575," チ シ | たる.む たる.める たゆ.む ゆる.む ゆる.み"
985,剛,N1,CƯƠNG,10,1576," コウ ゴウ | おおとり ひしくい おおがり"
1231,疾,N1,TẬT,10,1577," シツ | うるし"
1587,征,N1,CHINH,8,1578," セイ ショウ"
1064,砕,N1,TOÁI,9,1579," サイ セイ"
2852,謡,N1,DAO,16,1580," ヨウ | い.る かなめ"
298,嫁,N1,GIÁ,13,1581," カ ガ ゲ | なつ"
835,謙,N1,"KHIÊM, KHIỆM",17,1582," ケン | み.る み.える み.せる"
918,后,N1,"HẬU, HẤU",6,1583," コウ | む.く む.い -む.き む.ける -む.け む.かう む.かい む.こう む.こう- むこ むか.い"
1875,嘆,N1,THÁN,13,1584," タン | ひとえ"
696,菌,N1,KHUẨN,11,1586," キン | せり"
442,鎌,N1,LIÊM,18,1587," フ | かま"
1736,巣,N1,SÀO,11,1588," ソウ ゾウ"
2050,泥,N2,"NÊ, NỆ, NỄ",8,1589," テイ | かなえ"
